# type (r;w;u;1-9),class,name,comment,QQ,ZZ,PBSB,ID,field1,part (m;s),type / templates,divider / values,unit,comment [1],field2,part (m;s) [1],type / templates [1],divider / values [1],unit [1],comment [2],field3,part (m;s) [2],type / templates [2],divider / values [2],unit [2],comment [3],field4,part (m;s) [3],type / templates [3],divider / values [3],unit [3],comment [4],field5,part (m;s) [4],type / templates [4],divider / values [4],unit [4],comment [5],field6,part (m;s) [5],type / templates [5],divider / values [5],unit [5],comment [6],field7,part (m;s) [6],type / templates [6],divider / values [6],unit [6],comment [7]
r;u,sm1,temp_76_53,,,76,5022,533e13,temp_76_53,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_54,,,76,5022,55af09,temp_76_54,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_55,,,76,5022,573713,temp_76_55,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_56,,,76,5022,574403,temp_76_56,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_57,,,76,5022,62534e,temp_76_57,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_58,,,76,5022,6b4013,temp_76_58,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_61,,,76,5022,76f502,temp_76_61,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_63,,,76,5022,8fc903,temp_76_63,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_65,,,76,5022,9b4a03,temp_76_65,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_66,,,76,5022,9f4303,temp_76_66,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_68,,,76,5022,a3cd03,temp_76_68,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_71,,,76,5022,b1ac09,temp_76_71,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_74,,,76,5022,bf2f13,temp_76_74,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_76,,,76,5022,c34203,temp_76_76,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
